"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
"6936"	-1.49827231614559	"KIAA1217"	"56243"	0.0599153180246525	"E.Br.24h.4"
"6566"	-1.3594195654708	"IPO5"	"3843"	0.0782588047956621	"E.Br.24h.4"
"6562"	-1.47656278638741	"IPMK"	"253430"	0.0767104376551077	"E.Br.24h.4"
"6038"	-1.36013506266257	"HLA-DPA1"	"3113"	0.0853123567168644	"E.Br.24h.4"
"5999"	-1.31365616996223	"HIPK1"	"204851"	0.0176676387419423	"E.Br.24h.4"
"5674"	-1.37216481755938	"GRB2"	"2885"	0.0676590112196552	"E.Br.24h.4"
"5187"	-1.38538896928091	"GABPA"	"2551"	0.0987525683919396	"E.Br.24h.4"
"5092"	-1.57886254937211	"FRMD4B"	"23150"	0.0574469702051112	"E.Br.24h.4"
"4941"	-1.41842659366286	"FGR"	"2268"	0.0816475171166731	"E.Br.24h.4"
"4933"	-1.3623765772173	"FGFR2"	"2263"	0.0410670105349281	"E.Br.24h.4"
"4721"	-1.59366379091428	"FAM49A"	"81553"	0.0885239732695767	"E.Br.24h.4"
"4350"	-1.31765025158868	"EQTN"	"54586"	0.0373381122671879	"E.Br.24h.4"
"4206"	-1.43436275842276	"ELL2"	"22936"	0.0182827739483906	"E.Br.24h.4"
"4133"	-1.77349778664236	"EID1"	"23741"	0.0119043875805035	"E.Br.24h.4"
"3753"	-1.39338922020795	"DNAJB4"	"11080"	0.0452831650384881	"E.Br.24h.4"
"3685"	-1.31407642191147	"DLL3"	"10683"	0.00267844201660717	"E.Br.24h.4"
"2661"	-1.5168747047699	"CISD2"	"493856"	0.0336667503440208	"E.Br.24h.4"
"2382"	-1.40276166083845	"CDKN2AIP"	"55602"	0.0653130363575027	"E.Br.24h.4"
"23222"	-1.89247169138573	"CDH11"	"1009"	0.0831783962578913	"E.Br.24h.4"
"1795"	-1.31428399810068	"CAB39L"	"81617"	0.024902852700141	"E.Br.24h.4"
"1738"	-1.58203195643251	"C6orf62"	"81688"	0.0965318185833007	"E.Br.24h.4"
"1492"	-1.30104955451473	"BTBD9"	"114781"	0.0286323366469033	"E.Br.24h.4"
"1168"	-1.48551251734141	"ATRX"	"546"	0.0312134108319114	"E.Br.24h.4"
"973"	-1.35785822171583	"ARRDC3"	"57561"	0.0545413355171652	"E.Br.24h.4"
"601"	-1.31678321134832	"ANAPC10"	"10393"	0.0844095471324851	"E.Br.24h.4"
"529"	-1.34102307941655	"ALDH6A1"	"4329"	0.0553911102683455	"E.Br.24h.4"
"332"	-1.40267164601308	"ADK"	"132"	0.0305723062408893	"E.Br.24h.4"
"15289"	-1.41709829393532	"ZNF45"	"7596"	0.0728331762770073	"E.Br.30d.1"
"15271"	-1.30490520924627	"ZNF416"	"55659"	0.020486300066258	"E.Br.30d.1"
"15213"	-1.36727190943358	"ZNF283"	"284349"	0.0590831109672218	"E.Br.30d.1"
"14685"	-1.38160329086308	"WDR20"	"91833"	0.0508948655429015	"E.Br.30d.1"
"14041"	-1.39387464355027	"TRIOBP"	"11078"	0.0710473975681467	"E.Br.30d.1"
"10980"	-1.43315531816621	"RBM8A"	"9939"	0.0868356298188086	"E.Br.30d.1"
"10715"	-1.33700278248728	"RAB27A"	"5873"	0.0388633674201951	"E.Br.30d.1"
"7677"	-1.32436103299056	"MAP4K5"	"11183"	0.0775463651586067	"E.Br.30d.1"
"7007"	-1.58378293819368	"KLF13"	"51621"	0.0386794196385922	"E.Br.30d.1"
"6609"	-1.32695370085575	"IREB2"	"3658"	0.0314146412012129	"E.Br.30d.1"
"6579"	-1.36302300361364	"IQCE"	"23288"	0.0836334632626082	"E.Br.30d.1"
"6004"	-1.68899243547742	"HIRA"	"7290"	0.0321609222309557	"E.Br.30d.1"
"5863"	-1.31694881643632	"HAUS2"	"55142"	0.0933529026372329	"E.Br.30d.1"
"5387"	-1.36651981416359	"GID8"	"54994"	0.0453056452767695	"E.Br.30d.1"
"5118"	-1.49590745312228	"FST"	"10468"	0.0864535669095576	"E.Br.30d.1"
"4736"	-1.32862564907031	"FAM76A"	"199870"	0.088654438024136	"E.Br.30d.1"
"4636"	-1.33612432165521	"FAM168B"	"130074"	0.0572780001298452	"E.Br.30d.1"
"4538"	-1.45029473038877	"FAIM"	"55179"	0.0456927018404259	"E.Br.30d.1"
"2760"	-1.55923119179692	"CLN8"	"2055"	0.080348409485728	"E.Br.30d.1"
"2452"	-1.30720194696681	"CENPO"	"79172"	0.0590072468173436	"E.Br.30d.1"
"2369"	-1.48132933924109	"CDK5R1"	"8851"	0.0509309267751349	"E.Br.30d.1"
"1308"	-1.35630031538443	"BCL2L2"	"599"	0.0440916507446973	"E.Br.30d.1"
"8"	-1.48318401574275	"AAGAB"	"79719"	0.0372379848267578	"E.Br.30d.1"
"19256"	-1.33259767432726	"ZXDB"	"158586"	0.00238590188092106	"E.Corn.6h.1"
"18829"	-1.41740804315117	"ZNF365"	"22891"	0.000935533714194889	"E.Corn.6h.1"
"18571"	-1.39608180360091	"ZFP36L2"	"678"	0.0006814454043336	"E.Corn.6h.1"
"18295"	-1.81223187510059	"WNT7B"	"7477"	0.000802077963584585	"E.Corn.6h.1"
"18294"	-1.3225214015696	"WNT7A"	"7476"	0.00165914272981954	"E.Corn.6h.1"
"18020"	-1.30630250087933	"VEGFC"	"7424"	0.00245954069503793	"E.Corn.6h.1"
"17996"	-1.46981833497041	"VAV3"	"10451"	0.000485223068780069	"E.Corn.6h.1"
"17858"	-1.30055321931252	"UQCRH"	"7388"	0.00268110974458321	"E.Corn.6h.1"
"17632"	-1.39581847646551	"TXNIP"	"10628"	0.00354510830411885	"E.Corn.6h.1"
"17451"	-1.41589633428928	"TSHZ1"	"10194"	0.0106262610398297	"E.Corn.6h.1"
"17434"	-1.9713116030497	"TSC22D3"	"1831"	1.78587997377858e-05	"E.Corn.6h.1"
"17431"	-1.34961812875462	"TSC22D1"	"8848"	0.00115315194007748	"E.Corn.6h.1"
"17330"	-1.33152445699837	"TRIM47"	"91107"	0.00289236751523275	"E.Corn.6h.1"
"17232"	-1.35291275394142	"TRAM1"	"23471"	0.0465017709633542	"E.Corn.6h.1"
"16864"	-1.37643711750432	"TMEM154"	"201799"	0.026868417055805	"E.Corn.6h.1"
"16763"	-1.37583888112038	"TM4SF1"	"4071"	0.000900061385559305	"E.Corn.6h.1"
"16625"	-1.85872880375547	"THBS1"	"7057"	0.00013571588032683	"E.Corn.6h.1"
"16030"	-1.36800368316887	"STK17B"	"9262"	0.00145359150160972	"E.Corn.6h.1"
"15939"	-1.35596504385929	"ST3GAL4"	"6484"	0.00133552594742182	"E.Corn.6h.1"
"15824"	-1.41544496588318	"SPTBN1"	"6711"	0.0140134315412787	"E.Corn.6h.1"
"15659"	-1.57407401338563	"SOX2"	"6657"	0.000147896131516716	"E.Corn.6h.1"
"15424"	-1.39027276103209	"SLK"	"9748"	0.0082887380880842	"E.Corn.6h.1"
"15423"	-1.50995377820291	"SLITRK6"	"84189"	0.000241558494618475	"E.Corn.6h.1"
"151271"	-1.52217366457441	"SLC26A2"	"1836"	0.00557584419305005	"E.Corn.6h.1"
"14742"	-1.42011475918596	"SFN"	"2810"	0.000531965280032927	"E.Corn.6h.1"
"14695"	-1.40769802099528	"SESN3"	"143686"	0.000697526886212847	"E.Corn.6h.1"
